source,target
medico urgencias atencion,consultant emergency medicine
consultor servicios financieros,consultant financial services
adjunto medicina intensiva,consultant intensive care medicine
facultativo medicina intensiva,consultant intensive care medicine
fea medicina intensiva,consultant intensive care medicine
medico interno residente medicina intensiva,consultant intensive care medicine
director consejero,consultant manager
medico psiquiatra,consultant psychiatrist
psiquiatra,consultant psychiatrist
psiquiatra consultor,consultant psychiatrist
psicologo reconocimiento conductores,consultant psychologist
consultor estrategia operaciones,consultant strategy operations
consultor supervisor,consultant supervisor
consultor jefe de equipo,consultant team leader
ingeniero asesor,consulting engineer
ingeniero consultor,consulting engineer
gerente asesor,consulting manager
socio consultor,consulting partner
coordinador contenidos,content coordinator
redactor coordinador contenidos,content coordinator
creador contenido audiovisual,content creator
creador de contenidos,content creator
creador redactor,content creator
creador web,content creator
elaboracion contenidos,content creator
redactor contenidos,content creator
responsable contenidos multimedia,content creator
responsable de contenido,content creator
responsable de contenidos,content creator
disenador de contenidos,content designer
director contenido,content director
director de contenidos,content director
fundador director contenidos,content director
editor contenidos,content editor
editor de contenidos,content editor
editor redactor de contenidos,content editor
redactor contenidos culturales,content editor
redactor contenidos multimedia,content editor
redactor contenidos musicales,content editor
redactor contenidos seo,content editor
redactor editor contenidos,content editor
gestor de contenidos,content manager
redactor gestor contenidos,content manager
colaborador contenidos,content provider
ingeniero mejora continua,continuous improvement engineer
ingeniero procesos mejora continua,continuous improvement engineer
director mejora continua,continuous improvement manager
administrador contrato,contract administrator
gestor contrato,contract manager
gestor de contratos,contract manager
autor colaborador,contributing writer
colaborador,contributor
coloborador,contributor
controlador,controller
interventor,controller
controller,controller supervisor
cocinero,cook
cocinero cocina,cook
oficial cocina,cook
abogado coordinador,coordinator
coordinador,coordinator
coordinador agencias,coordinator
coordinador audiovisual,coordinator
coordinador baleares,coordinator
coordinador cantera,coordinator
coordinador ciclo,coordinator
coordinador de revista,coordinator
coordinador delegaciones,coordinator
coordinador delegado,coordinator
coordinador departamentos,coordinator
coordinador ediciones,coordinator
coordinador emisiones,coordinator
coordinador fisioterapia,coordinator
coordinador ingles,coordinator
coordinador locutor,coordinator
coordinador montaje,coordinator
coordinador movilidad,coordinator
coordinador multimedia,coordinator
coordinador ocupacional,coordinator
coordinador plataforma,coordinator
coordinador radio,coordinator
coordinador rrpp,coordinator
coordinador software,coordinator
coordinador soldadura,coordinator
cordinador,coordinator
recepcionista coordinador,coordinator
encargado coordinador,coordinator manager
gerente coordinador,coordinator manager
redactor critico,copywriter
redactor publicidad,copywriter
redactor publicitario,copywriter
redactor corrector textos,copywriter editor
redactor prensa escrita,copywriter editor
ejecutivo cuentas banca corporativa,corporate account executive
ejecutivo cuentas corporativas,corporate account executive
analista banca corporativa,corporate analyst
asesor imagen personal corporativa,corporate consultant
gerente desarrollo corporativo,corporate development manager
director corporativo,corporate director
director corporativo compras,corporate director
director de negocio de banca corporativa,corporate director
gerente corporativo,corporate manager
gerente responsable,corporate responsibility manager
gestor responsable,corporate responsibility manager
responsabilidad social corporativa,corporate responsibility manager
responsable corporativo,corporate responsibility manager
responsable identidad corporativa,corporate responsibility manager
corresponsal,correspondent
corresponsal colaborador,correspondent
corresponsal prensa,correspondent
administrativo costes,cost accountant
controlador costes,cost controller
ingeniero de costes,cost engineer
director explotaciones,cost manager
estilista vestuario,costume designer stylist
jefe de vestuario,costume supervisor
concejal hacienda,council
miembro consejo academico,council member
